	MAG01	MAG02	MAG03	MAG04	MAG05	MAG06	MAG07	MAG08	MAG09	MAG10	MAG11	MAG12	MAG13	MAG14	MAG15	MAG16	MAG17	MAG18	MAG19	MAG20	MAG21	MAG22	MAG23	MAG24	MAG25	MAG26	MAG27	MAG28	MAG29	MAG30	MAG31	MAG32	MAG33	MAG34	MAG35	MAG36	MAG37	MAG38	MAG39	MAG40	MAG41	MAG42	MAG43	MAG44	MAG45	MAG46	MAG47	MAG48	MAG49	MAG50	MAG51	MAG52	MAG53	MAG54	MAG55	MAG56	MAG57	MAG58	MAG59	MAG60	MAG61	MAG62	MAG63	MAG64	MAG65	MAG66	MAG67	MAG68	MAG69
C1	0.0	0.81	10.82	9.01	1.52	41.63	7.5	14.24	0.0	3.29	20.175	14.07	1.22	2.91	7.62	0.52	6.84	7.0	3.15	14.17	1.5	3.03	2.36	9.81	0.0	18.93	47.94	4.03	0.0	102.06	2.11	7.13	2.5	11.83	8.605	4.425	1.15	0.78	0.0	63.22	4.29	9.04	8.27	29.15	0.0	1.5	9.62	17.64	3.0	1.6	0.0	8.86	8.08	4.5	1.07	8.79	1.21	0.92	7.51	0.0	3.24	1.87	2.58	10.7	0.71	0.0	2.24	0.26	8.18
C13	0.0	1.66	0.98	72.99	3.28	16.95	0.0	8.38	0.0	5.92	26.27	31.35	0.88	1.35	21.17	0.47	41.24	7.69	3.67	2.07	1.13	21.42	0.32	12.524999999999999	0.0	120.1	131.60500000000002	13.19	0.88	13.19	0.5	0.975	5.71	2.44	10.094999999999999	1.43	4.79	0.28	3.77	0.0	0.15	0.57	3.94	52.945	0.0	16.87	59.72	31.175	12.82	15.44	4.18	0.0	5.32	6.96	3.32	2.58	1.19	2.94	52.36	0.0	14.45	7.59	4.69	12.59	1.44	1.31	2.32	1.1	22.3
C14	0.0	1.81	0.37	75.89	0.91	5.24	0.0	3.07	0.0	5.3	23.42	9.27	0.48	0.48	10.43	0.38	49.13	9.11	2.63	1.37	0.5	15.39	0.0	16.505000000000003	0.0	141.945	104.775	10.76	0.0	1.45	0.5	0.0	2.0	3.43	7.95	0.37	4.46	0.0	1.08	0.0	0.0	0.0	4.24	56.185	0.0	18.4	59.57	39.53	11.23	10.95	1.83	0.0	4.03	6.43	4.0	0.93	0.4	0.33	32.05	0.0	19.69	1.48	3.94	10.27	0.88	0.45	2.32	1.04	19.6
C2	0.0	0.97	3.25	44.76	3.135	27.22	0.0	16.58	0.0	4.47	25.939999999999998	35.78	0.74	1.6	17.78	6.11	24.33	8.03	4.71	1.87	1.13	15.23	0.99	7.65	0.0	63.885000000000005	87.34	9.335	1.73	62.72	0.49	3.935	5.23	1.74	8.99	6.015	3.01	0.9	11.7	6.31	0.21	1.12	2.62	35.004999999999995	0.0	10.81	35.67	21.355	9.12	9.2	3.43	0.0	4.4	5.69	1.94	8.19	2.61	13.335	42.58	0.0	10.51	6.15	3.87	8.18	1.21	9.38	1.56	0.7	12.45
C3	0.0	1.08	0.08	32.815	1.63	12.315000000000001	0.0	0.49	0.0	3.45	10.120000000000001	5.94	0.48	0.0	9.94	5.12	2.94	5.38	8.64	0.5	1.58	5.58	1.16	7.35	0.0	76.93	78.09	4.42	0.0	0.99	0.99	2.91	2.1950000000000003	0.78	3.59	0.98	1.16	0.0	36.7	5.82	0.0	0.0	5.715	58.9	0.0	10.93	33.69	33.925	6.24	3.46	4.55	1.41	2.2	3.84	1.78	5.99	0.0	0.0	55.45	2.1	3.57	0.43	2.7350000000000003	11.25	1.24	0.42	1.38	4.74	8.07
C4	0.0	0.81	2.625	20.96	9.86	10.89	0.0	4.33	0.0	3.39	10.26	11.24	0.695	0.67	11.32	4.13	6.08	7.33	2.54	0.27	2.34	7.96	0.7	5.46	0.0	37.065	61.045	5.84	0.0	1.03	0.96	5.21	3.11	3.48	6.37	17.305	1.71	0.5	52.74	21.91	2.44	0.0	2.58	26.5	0.27	7.42	19.07	25.665	5.78	4.15	10.55	9.01	1.66	3.16	1.64	9.99	0.0	0.0	37.61	1.28	5.39	2.21	3.92	8.86	1.46	1.795	1.26	2.03	8.45
C5	0.0	0.51	3.96	17.8	0.75	2.35	1.33	17.98	0.0	3.26	16.36	11.91	0.52	2.87	6.06	0.0	17.26	6.07	2.36	6.88	0.0	4.16	0.42	7.47	0.83	29.24	72.64	7.66	0.0	46.05	1.34	5.495	1.38	6.47	10.04	5.38	1.15	0.46	0.0	16.05	21.39	0.0	3.04	19.54	0.025	5.33	17.22	12.64	5.48	2.69	0.0	1.15	8.88	2.95	1.44	5.72	0.44	1.185	8.35	0.0	5.47	15.11	2.335	7.51	0.48	0.0	1.07	0.42	5.78
C6	0.0	0.91	4.13	18.27	0.0	14.565000000000001	3.605	4.93	0.0	3.81	13.8	13.44	1.185	3.37	9.74	0.0	5.69	6.23	4.66	8.855	3.72	4.18	2.13	6.9	0.0	40.075	71.86	4.0	0.0	4.21	2.45	4.335	1.83	1.71	5.365	11.66	1.3	0.12	5.03	35.45	1.5	5.08	5.78	26.805	0.44	2.6	19.82	16.3	4.81	2.85	0.0	2.67	9.7	4.96	0.86	20.09	0.0	0.85	15.27	8.83	4.91	8.27	3.03	9.24	0.68	2.04	2.07	0.4	7.82
F25	7.79	14.87	0.33	61.075	11.21	15.934999999999999	3.525	0.0	21.2	16.59	31.25	14.9	7.4	3.21	18.5	0.92	43.24	0.28	0.64	1.38	0.71	22.41	0.5	19.67	6.51	85.13	151.25	27.994999999999997	2.38	0.0	0.44	15.375	38.465	0.38	18.06	1.35	28.16	0.86	0.0	0.16	1.69	6.64	22.26	93.65	0.48	23.7	21.54	36.26	14.85	11.17	0.0	0.35	36.0	16.34	13.66	0.42	0.0	0.0	2.48	0.0	25.11	0.0	14.43	26.72	9.06	0.0	18.68	15.7	18.93
F26	1.78	0.91	0.005	7.995	11.31	2.19	1.08	0.0	9.73	3.1	11.29	3.24	0.42	2.09	1.42	0.31	3.35	0.57	0.0	0.0	1.18	2.44	0.72	4.72	0.0	10.38	6.66	4.77	1.39	0.0	0.28	2.88	7.855	0.94	2.5949999999999998	0.0	6.49	0.0	0.0	0.0	1.71	1.6	5.39	8.31	0.92	1.52	1.57	12.46	1.04	1.88	0.0	0.32	5.51	2.43	1.75	0.0	0.0	0.0	5.11	0.0	3.07	0.0	1.08	6.36	0.24	0.0	1.65	2.39	2.71
F27	0.88	5.73	1.65	21.095	0.0	24.115000000000002	0.0	0.37	39.87	8.68	46.55	4.73	2.3449999999999998	0.38	6.86	0.0	22.55	2.87	1.63	0.33	1.84	7.92	2.05	17.61	0.0	51.685	89.59	9.475000000000001	0.0	0.0	1.17	0.735	9.46	0.78	10.09	3.73	9.61	12.93	0.0	0.0	0.0	0.44	13.305	35.825	10.73	11.44	13.34	64.72999999999999	10.17	4.44	0.0	19.63	16.43	9.39	10.74	0.45	0.0	0.5	26.0	0.0	34.67	0.0	7.14	20.19	1.29	0.0	6.81	9.61	8.04
F28	3.24	1.49	0.0	18.965	0.31	1.72	0.0	0.0	9.25	6.61	16.02	3.98	0.83	0.12	2.9	0.55	14.46	2.9	0.0	0.45	0.0	11.4	0.33	3.31	0.84	13.99	51.315	14.55	0.0	0.0	1.29	2.885	10.03	1.07	2.45	0.0	6.45	0.0	0.0	0.42	2.64	0.0	3.385	15.715	2.17	8.93	5.38	12.375	2.27	6.53	2.755	31.47	11.69	4.38	0.93	0.74	0.43	0.0	0.98	29.89	7.86	10.05	2.22	4.19	2.94	0.0	3.23	4.09	5.22
F29	23.42	1.98	4.515	19.915	126.945	14.13	0.43	1.98	26.27	12.39	61.76	31.9	2.51	41.01	5.715	22.92	17.75	7.86	0.21	0.0	9.12	8.43	0.5	27.53	0.84	35.364999999999995	47.655	19.76	19.61	0.0	11.47	20.65	34.71	1.14	22.31	0.475	18.24	0.0	0.0	16.43	3.1	3.29	14.76	25.155	5.91	3.73	5.68	65.03999999999999	3.16	7.5	2.87	1.16	22.14	13.42	6.21	2.71	10.45	0.0	4.09	0.0	14.77	0.52	5.65	39.3	1.04	0.36	4.94	12.39	16.71
F30	1.44	12.16	0.0	46.025000000000006	2.18	23.445	0.73	0.0	33.13	12.81	22.45	13.7	4.105	2.81	19.13	1.33	34.26	0.4	0.57	18.435000000000002	2.88	17.17	22.67	17.45	0.45	89.63	168.94	19.29	3.19	0.0	0.5	16.5	30.18	0.42	5.9	0.725	16.26	0.0	0.0	0.0	6.66	0.05	12.18	62.785	0.0	15.52	15.02	28.445	16.09	2.67	0.0	0.41	32.56	14.47	10.69	0.86	0.0	0.0	29.61	0.0	17.16	0.0	7.01	24.25	3.29	0.07	11.18	10.184999999999999	13.85
F31	1.85	4.49	0.85	43.22	30.75	9.08	0.17	0.0	48.97	14.29	40.035	10.66	2.1	5.23	6.76	0.96	18.74	2.0	0.36	0.0	2.21	11.81	6.96	19.82	0.0	66.18	47.8	26.76	3.22	0.0	0.82	13.53	16.53	7.24	17.93	0.0	5.78	0.0	0.0	5.07	4.46	1.84	42.58	44.53	0.95	5.25	8.22	31.265	7.15	5.36	0.49	2.04	35.0	15.02	5.03	0.46	0.0	0.0	0.25	0.83	10.7	0.4	4.205	45.54	2.43	0.0	5.74	9.37	23.03
F32	3.52	9.36	0.0	33.65	2.36	4.1	1.35	0.0	20.42	10.74	34.575	12.07	2.91	0.62	13.04	1.34	26.93	0.5	0.58	0.0	0.9	14.82	2.36	9.76	0.43	68.67500000000001	130.91	18.25	2.13	0.0	0.44	9.52	10.715	0.1	5.115	7.585	15.66	0.37	0.0	0.0	1.16	0.86	15.77	68.565	0.44	12.98	13.33	16.425	11.73	5.75	0.0	3.91	22.02	8.92	7.71	0.5	0.03	0.0	8.99	0.94	18.63	0.0	7.41	9.25	4.55	0.0	8.46	7.98	8.61
