	Mean	Median	Mode	STDev	PercentOfPairs
C1	250.120	247	241	52.292	97.188
C13	251.675	248	240	51.312	98.551
C14	250.570	247	240	53.574	97.944
C2	255.943	253	249	53.110	97.231
C3	253.902	250	242	55.750	97.509
C4	259.011	255	249	55.279	97.823
C5	255.791	252	250	54.933	97.583
C6	244.986	242	240	52.377	96.754
F25	242.428	240	234	48.857	98.624
F26	176.006	172	167	37.071	98.932
F27	241.139	238	234	50.949	97.858
F28	231.566	229	225	51.090	98.039
F29	238.852	236	230	47.805	98.943
F30	247.730	245	241	49.260	98.568
F31	240.380	238	233	49.166	98.479
F32	244.395	241	232	51.282	98.529
