Sample	Step	Total_Reads	Total_Bases	Reads_pe	Bases_pe	Reads_se	Bases_se	Timestamp
C1	raw	6399127.0	2876672333	6399127.0	2876672333	0	0	2019-03-28-05:30:56
C1	deduplicated	6299326.0	2833357429	6299326.0	2833357429	0	0	2019-03-28-09:38:05
C1	filtered	6287280.0	2824662314	6231315.0	2812235593	55965	12426721	2019-03-28-09:49:21
C1	clean	5643386.0	2554547498	5643386.0	2554547498	0	0	2019-03-28-13:11:43
C1	QC	5718578.0	2577494488	5669860.0	2566527003	48718	10967485	2019-03-28-13:39:56
C13	raw	9852213.0	4468716329	9852213.0	4468716329	0	0	2019-03-28-05:19:40
C13	deduplicated	9778237.0	4436940843	9778237.0	4436940843	0	0	2019-03-28-05:47:01
C13	filtered	9763842.0	4425862722	9730241.0	4418712356	33601	7150366	2019-03-28-06:01:25
C13	clean	7854116.0	3571912597	7838793.0	3568549653	15323	3362944	2019-03-28-10:54:24
C13	QC	7895645.0	3590764451	7880253.0	3587385952	15392	3378499	2019-03-28-10:57:22
C14	raw	7605999.0	3399823364	7605999.0	3399823364	0	0	2019-03-28-05:26:22
C14	deduplicated	7539966.0	3372458736	7539966.0	3372458736	0	0	2019-03-28-06:06:38
C14	filtered	7522487.0	3361461621	7464407.0	3349177191	58080	12284430	2019-03-28-09:45:12
C14	clean	6535490.0	2939881231	6496744.0	2931465146	38746	8416085	2019-03-28-11:22:07
C14	QC	6577501.0	2958739020	6538581.0	2950284199	38920	8454821	2019-03-28-11:23:34
C2	raw	7938299.0	3600319058	7938299.0	3600319058	0	0	2019-03-28-05:24:53
C2	deduplicated	7856800.0	3565284631	7856800.0	3565284631	0	0	2019-03-28-06:05:06
C2	filtered	7843142.0	3555262729	7785292.0	3542476235	57850	12786494	2019-03-28-09:39:27
C2	clean	6987387.0	3183633156	6940969.0	3173131074	46418	10502082	2019-03-28-10:37:57
C2	QC	7020641.0	3198782022	6974069.0	3188245388	46572	10536634	2019-03-28-10:39:19
C3	raw	6502240.0	2909893189	6502240.0	2909893189	0	0	2019-03-28-05:29:24
C3	deduplicated	6400162.0	2867005440	6400162.0	2867005440	0	0	2019-03-28-06:11:10
