ORF	Gene
MAG01_1_104	Gene000001
MAG01_1_106	Gene000002
MAG23_9_12	Gene000002
MAG01_1_109	Gene000003
MAG01_1_110	Gene000004
MAG01_1_111	Gene000005
MAG01_1_112	Gene000006
MAG01_1_113	Gene000007
MAG01_1_114	Gene000008
MAG01_1_115	Gene000009
MAG01_1_116	Gene000010
MAG01_1_117	Gene000011
MAG01_1_118	Gene000012
MAG01_1_119	Gene000013
MAG01_1_120	Gene000014
MAG01_1_121	Gene000015
MAG01_1_122	Gene000016
MAG01_1_123	Gene000017
MAG45_94_2	Gene000017
MAG40_17_16	Gene000017
MAG01_1_124	Gene000018
MAG01_1_125	Gene000019
MAG01_1_126	Gene000020
MAG01_1_127	Gene000021
MAG01_1_128	Gene000022
MAG01_1_129	Gene000023
MAG01_1_130	Gene000024
MAG01_1_131	Gene000025
MAG01_1_132	Gene000026
MAG01_1_133	Gene000027
MAG40_3_61	Gene000027
MAG01_1_134	Gene000028
MAG01_1_135	Gene000029
MAG01_1_136	Gene000030
MAG01_1_137	Gene000031
MAG01_1_138	Gene000032
MAG01_1_139	Gene000033
MAG01_1_141	Gene000034
MAG01_1_142	Gene000035
MAG01_1_143	Gene000036
MAG01_1_144	Gene000037
MAG01_1_145	Gene000038
MAG01_1_146	Gene000039
MAG01_1_147	Gene000040
MAG01_1_148	Gene000041
MAG01_1_149	Gene000042
MAG21_73_5	Gene000042
MAG30_1_147	Gene000042
MAG58_20_13	Gene000042
MAG36_4_14	Gene000042
MAG01_1_150	Gene000043
MAG01_1_151	Gene000044
MAG01_1_152	Gene000045
MAG01_1_154	Gene000046
MAG01_1_155	Gene000047
MAG01_1_156	Gene000048
MAG01_1_157	Gene000049
MAG31_125_5	Gene000049
MAG01_1_158	Gene000050
MAG01_1_160	Gene000051
MAG01_1_161	Gene000052
MAG01_1_162	Gene000053
MAG01_1_163	Gene000054
MAG01_1_164	Gene000055
MAG01_1_166	Gene000056
MAG01_1_167	Gene000057
MAG01_1_165	Gene000057
MAG01_1_168	Gene000058
MAG01_1_169	Gene000059
MAG01_1_170	Gene000060
MAG01_1_172	Gene000061
MAG01_1_173	Gene000062
MAG01_1_174	Gene000063
MAG01_1_175	Gene000064
MAG01_1_176	Gene000065
MAG01_1_177	Gene000066
MAG01_1_178	Gene000067
MAG08_8_19	Gene000067
MAG01_1_179	Gene000068
MAG01_1_180	Gene000069
MAG01_1_181	Gene000070
MAG01_1_182	Gene000071
MAG01_1_183	Gene000072
MAG01_1_184	Gene000073
MAG01_1_185	Gene000074
MAG01_1_186	Gene000075
MAG01_1_187	Gene000076
MAG01_1_188	Gene000077
MAG01_1_189	Gene000078
MAG01_1_190	Gene000079
MAG01_1_191	Gene000080
MAG01_1_192	Gene000081
MAG01_1_193	Gene000082
MAG01_1_194	Gene000083
MAG01_1_195	Gene000084
MAG01_1_196	Gene000085
MAG01_1_197	Gene000086
MAG01_1_198	Gene000087
MAG01_1_199	Gene000088
MAG01_1_200	Gene000089
MAG01_1_201	Gene000090
MAG02_94_5	Gene000091
MAG02_95_1	Gene000092
MAG02_95_3	Gene000093
MAG02_95_9	Gene000094
MAG02_96_1	Gene000095
MAG02_96_6	Gene000096
MAG10_9_26	Gene000096
MAG44_5_30	Gene000096
MAG46_9_66	Gene000096
MAG02_96_7	Gene000097
MAG46_9_65	Gene000097
MAG10_9_27	Gene000097
MAG44_5_31	Gene000097
MAG02_96_8	Gene000098
MAG02_97_1	Gene000099
MAG02_97_2	Gene000100
MAG10_60_9	Gene000100
MAG02_97_4	Gene000101
MAG10_60_7	Gene000101
MAG13_63_2	Gene000101
MAG44_14_23	Gene000101
MAG02_97_5	Gene000102
MAG02_97_8	Gene000103
MAG02_97_9	Gene000104
MAG02_97_10	Gene000105
MAG02_98_1	Gene000106
MAG02_98_3	Gene000107
MAG02_98_6	Gene000108
MAG02_98_8	Gene000109
MAG02_99_2	Gene000110
MAG02_99_3	Gene000111
MAG69_19_28	Gene000111
MAG02_99_5	Gene000112
MAG02_100_3	Gene000113
MAG10_24_22	Gene000113
MAG46_9_16	Gene000113
MAG02_100_4	Gene000114
MAG02_100_9	Gene000115
MAG02_101_1	Gene000116
MAG02_101_4	Gene000117
MAG44_6_83	Gene000117
MAG46_2_119	Gene000117
MAG02_101_6	Gene000118
MAG02_102_1	Gene000119
MAG02_102_4	Gene000120
MAG02_102_5	Gene000121
MAG10_17_5	Gene000121
MAG26_9_38	Gene000121
MAG43_47_9	Gene000121
MAG44_6_37	Gene000121
MAG46_5_73	Gene000121
MAG49_4_61	Gene000121
MAG69_4_21	Gene000121
MAG02_102_6	Gene000122
MAG46_24_14	Gene000122
MAG02_102_7	Gene000123
MAG02_102_8	Gene000124
MAG02_103_1	Gene000125
MAG02_103_4	Gene000126
MAG10_24_17	Gene000126
MAG02_103_5	Gene000127
MAG02_104_2	Gene000128
MAG02_104_3	Gene000129
MAG02_104_4	Gene000130
MAG44_11_27	Gene000130
MAG13_3_10	Gene000130
MAG49_68_10	Gene000130
MAG64_4_189	Gene000130
MAG02_104_6	Gene000131
MAG02_104_7	Gene000132
MAG02_104_8	Gene000133
MAG02_104_10	Gene000134
MAG10_53_9	Gene000134
MAG02_105_1	Gene000135
MAG02_105_2	Gene000136
MAG02_105_3	Gene000137
MAG10_19_25	Gene000137
MAG02_105_4	Gene000138
MAG46_25_27	Gene000138
MAG02_105_9	Gene000139
MAG02_106_1	Gene000140
MAG02_107_1	Gene000141
MAG02_107_3	Gene000142
MAG02_107_4	Gene000143
MAG02_107_5	Gene000144
MAG02_107_6	Gene000145
MAG03_46_5	Gene000146
MAG03_46_6	Gene000147
MAG03_46_8	Gene000148
MAG03_46_9	Gene000149
MAG03_46_10	Gene000150
MAG03_46_11	Gene000151
MAG38_23_3	Gene000151
MAG39_1_249	Gene000151
MAG58_4_24	Gene000151
MAG08_6_18	Gene000151
MAG03_46_12	Gene000152
MAG03_46_13	Gene000153
MAG03_47_1	Gene000154
MAG03_47_2	Gene000155
MAG03_47_3	Gene000156
MAG03_47_4	Gene000157
MAG03_47_5	Gene000158
MAG03_47_6	Gene000159
MAG03_47_8	Gene000160
MAG03_48_1	Gene000161
MAG03_48_2	Gene000162
MAG03_48_3	Gene000163
MAG03_48_4	Gene000164
MAG03_48_5	Gene000165
MAG03_48_6	Gene000166
MAG03_48_7	Gene000167
MAG03_48_8	Gene000168
MAG03_48_9	Gene000169
MAG03_48_10	Gene000170
MAG03_49_1	Gene000171
MAG03_49_2	Gene000172
MAG03_49_4	Gene000173
MAG03_49_5	Gene000174
MAG03_50_2	Gene000175
MAG03_50_3	Gene000176
MAG03_50_4	Gene000177
MAG03_50_5	Gene000178
MAG03_51_1	Gene000179
MAG03_51_2	Gene000180
MAG03_51_3	Gene000181
MAG03_52_1	Gene000182
MAG03_52_5	Gene000183
MAG03_52_6	Gene000184
MAG03_52_7	Gene000185
MAG03_52_8	Gene000186
MAG03_53_1	Gene000187
MAG03_53_2	Gene000188
MAG03_53_3	Gene000189
MAG03_53_4	Gene000190
MAG03_53_5	Gene000191
MAG03_53_6	Gene000192
MAG03_54_1	Gene000193
MAG58_7_8	Gene000193
MAG36_7_10	Gene000193
MAG30_20_19	Gene000193
MAG03_54_2	Gene000194
MAG03_54_3	Gene000195
MAG03_54_4	Gene000196
MAG03_54_5	Gene000197
MAG03_54_6	Gene000198
MAG03_54_7	Gene000199
MAG03_54_8	Gene000200
MAG03_55_1	Gene000201
MAG03_55_2	Gene000202
MAG03_55_3	Gene000203
MAG03_55_4	Gene000204
MAG03_55_5	Gene000205
MAG03_55_6	Gene000206
MAG03_55_7	Gene000207
MAG03_55_8	Gene000208
MAG07_36_4	Gene000208
MAG56_80_14	Gene000208
MAG03_56_1	Gene000209
MAG03_56_2	Gene000210
MAG03_56_4	Gene000211
MAG03_56_5	Gene000212
MAG38_70_5	Gene000212
MAG03_56_6	Gene000213
MAG03_56_7	Gene000214
MAG03_57_1	Gene000215
MAG03_57_6	Gene000216
MAG03_58_1	Gene000217
MAG03_58_2	Gene000218
MAG03_58_3	Gene000219
MAG03_58_4	Gene000220
MAG57_624_1	Gene000220
MAG57_196_3	Gene000220
MAG56_320_1	Gene000220
MAG03_58_6	Gene000221
MAG03_58_7	Gene000222
MAG03_58_8	Gene000223
MAG03_58_9	Gene000224
MAG33_3_41	Gene000224
MAG44_2_91	Gene000224
MAG56_157_4	Gene000224
MAG03_59_1	Gene000225
MAG03_59_2	Gene000226
MAG03_59_3	Gene000227
MAG03_59_4	Gene000228
MAG03_59_5	Gene000229
MAG03_59_6	Gene000230
MAG04_2_88	Gene000231
MAG04_2_89	Gene000232
MAG04_2_93	Gene000233
MAG28_19_4	Gene000233
MAG04_2_94	Gene000234
MAG04_2_95	Gene000235
MAG28_19_6	Gene000235
MAG04_2_96	Gene000236
MAG04_2_97	Gene000237
MAG04_2_98	Gene000238
MAG04_2_99	Gene000239
MAG04_2_100	Gene000240
MAG04_2_101	Gene000241
MAG04_2_102	Gene000242
MAG04_2_103	Gene000243
MAG28_19_10	Gene000243
MAG54_2_8	Gene000243
MAG43_3_10	Gene000243
MAG69_8_26	Gene000243
MAG04_2_107	Gene000244
MAG28_19_14	Gene000244
MAG04_2_108	Gene000245
MAG54_44_9	Gene000245
MAG04_2_109	Gene000246
MAG04_2_111	Gene000247
MAG04_2_112	Gene000248
MAG04_2_114	Gene000249
MAG04_2_115	Gene000250
MAG04_2_117	Gene000251
MAG04_2_119	Gene000252
MAG69_1_149	Gene000252
MAG43_13_35	Gene000252
MAG04_2_120	Gene000253
MAG04_2_121	Gene000254
MAG54_49_12	Gene000254
MAG04_2_122	Gene000255
MAG54_49_11	Gene000255
MAG04_3_1	Gene000256
MAG04_3_2	Gene000257
MAG04_3_3	Gene000258
MAG04_3_4	Gene000259
MAG04_3_5	Gene000260
MAG04_3_6	Gene000261
MAG04_3_9	Gene000262
MAG28_1_89	Gene000262
MAG04_3_11	Gene000263
MAG17_3_66	Gene000263
MAG46_10_30	Gene000263
MAG47_15_34	Gene000263
MAG28_1_87	Gene000263
MAG65_284_2	Gene000263
MAG04_3_12	Gene000264
MAG04_3_23	Gene000265
MAG04_3_24	Gene000266
MAG68_72_9	Gene000266
MAG02_32_9	Gene000266
MAG10_13_24	Gene000266
MAG46_1_72	Gene000266
MAG04_3_26	Gene000267
MAG28_15_23	Gene000267
MAG04_3_28	Gene000268
MAG28_15_21	Gene000268
MAG04_3_33	Gene000269
MAG17_2_2	Gene000269
MAG28_15_9	Gene000269
MAG54_3_80	Gene000269
MAG53_46_2	Gene000269
MAG04_3_37	Gene000270
MAG28_15_15	Gene000270
MAG68_4_50	Gene000270
MAG67_33_14	Gene000270
MAG54_58_10	Gene000270
MAG47_22_7	Gene000270
MAG43_40_16	Gene000270
MAG04_3_39	Gene000271
MAG04_3_43	Gene000272
MAG04_3_49	Gene000273
MAG04_3_50	Gene000274
MAG04_3_51	Gene000275
MAG04_3_52	Gene000276
MAG37_10_19	Gene000276
MAG19_249_2	Gene000276
MAG09_5_10	Gene000276
MAG61_2_66	Gene000276
MAG11_3_192	Gene000276
MAG24_1_241	Gene000276
MAG48_1_853	Gene000276
MAG12_3_114	Gene000276
MAG55_26_18	Gene000276
MAG04_3_57	Gene000277
MAG47_40_14	Gene000277
MAG54_8_6	Gene000277
MAG28_17_8	Gene000277
MAG46_8_23	Gene000277
MAG02_69_11	Gene000277
MAG17_32_10	Gene000277
MAG49_22_3	Gene000277
MAG67_33_1	Gene000277
MAG26_63_3	Gene000277
MAG65_146_2	Gene000277
MAG53_44_18	Gene000277
MAG43_6_7	Gene000277
MAG10_4_36	Gene000277
MAG50_65_5	Gene000277
MAG33_2_45	Gene000277
MAG27_1_193	Gene000277
MAG63_7_28	Gene000277
MAG22_2_97	Gene000277
MAG68_1_14	Gene000277
MAG64_8_26	Gene000277
MAG37_1_75	Gene000277
MAG44_5_10	Gene000277
MAG04_3_60	Gene000278
MAG04_3_61	Gene000279
MAG04_3_64	Gene000280
MAG04_27_26	Gene000281
MAG04_27_27	Gene000282
MAG04_27_28	Gene000283
MAG04_28_6	Gene000284
MAG11_1_32	Gene000284
MAG28_19_45	Gene000284
MAG33_113_5	Gene000284
MAG53_5_48	Gene000284
MAG54_50_5	Gene000284
MAG46_3_103	Gene000284
MAG27_9_87	Gene000284
MAG65_11_8	Gene000284
MAG55_3_7	Gene000284
MAG67_3_15	Gene000284
MAG09_5_82	Gene000284
MAG02_160_5	Gene000284
MAG04_28_12	Gene000285
MAG28_19_40	Gene000285
MAG04_28_13	Gene000286
MAG04_28_15	Gene000287
MAG54_2_30	Gene000287
MAG28_19_36	Gene000287
MAG04_28_16	Gene000288
MAG04_28_19	Gene000289
MAG04_28_20	Gene000290
MAG04_28_22	Gene000291
MAG04_28_24	Gene000292
MAG04_29_2	Gene000293
MAG04_29_3	Gene000294
MAG04_29_14	Gene000295
MAG37_11_35	Gene000295
MAG22_62_12	Gene000295
MAG12_13_1	Gene000295
MAG28_6_26	Gene000295
MAG43_12_38	Gene000295
MAG53_13_29	Gene000295
MAG04_29_17	Gene000296
MAG28_6_23	Gene000296
MAG04_29_20	Gene000297
MAG04_30_4	Gene000298
MAG04_30_8	Gene000299
MAG28_16_62	Gene000299
MAG04_30_9	Gene000300
MAG28_39_18	Gene000300
MAG54_3_19	Gene000300
MAG26_40_19	Gene000300
MAG17_24_16	Gene000300
MAG46_3_14	Gene000300
MAG02_24_9	Gene000300
MAG43_17_4	Gene000300
MAG44_20_31	Gene000300
MAG68_26_10	Gene000300
MAG10_88_2	Gene000300
MAG04_30_10	Gene000301
MAG04_30_12	Gene000302
MAG28_39_16	Gene000302
MAG49_25_9	Gene000302
MAG53_39_11	Gene000302
MAG54_74_2	Gene000302
MAG04_30_15	Gene000303
MAG04_30_25	Gene000304
MAG04_31_1	Gene000305
MAG04_31_2	Gene000306
MAG28_24_31	Gene000306
MAG54_45_9	Gene000306
MAG04_31_4	Gene000307
MAG63_15_9	Gene000307
MAG04_31_6	Gene000308
MAG28_24_27	Gene000308
MAG54_15_25	Gene000308
MAG64_3_35	Gene000308
MAG33_17_44	Gene000308
MAG50_102_2	Gene000308
MAG17_64_3	Gene000308
MAG04_31_8	Gene000309
MAG54_15_24	Gene000309
MAG69_20_31	Gene000309
MAG43_27_12	Gene000309
MAG67_5_43	Gene000309
MAG10_59_6	Gene000309
MAG02_20_5	Gene000309
MAG49_4_62	Gene000309
MAG46_25_12	Gene000309
MAG17_8_10	Gene000309
MAG44_7_74	Gene000309
MAG26_16_11	Gene000309
MAG53_7_8	Gene000309
MAG47_22_34	Gene000309
MAG63_14_3	Gene000309
MAG27_16_12	Gene000309
MAG37_16_2	Gene000309
MAG28_24_26	Gene000309
MAG22_14_2	Gene000309
MAG04_32_4	Gene000310
MAG28_14_26	Gene000310
MAG54_25_7	Gene000310
MAG04_32_6	Gene000311
MAG02_19_13	Gene000311
MAG28_14_24	Gene000311
MAG46_14_61	Gene000311
MAG04_32_8	Gene000312
MAG28_14_22	Gene000312
MAG04_32_9	Gene000313
MAG04_32_10	Gene000314
MAG04_32_13	Gene000315
MAG54_9_20	Gene000315
MAG22_35_15	Gene000315
MAG17_15_8	Gene000315
MAG26_32_16	Gene000315
MAG28_2_134	Gene000315
MAG46_7_102	Gene000315
MAG49_15_19	Gene000315
MAG67_13_18	Gene000315
MAG69_6_63	Gene000315
MAG12_6_69	Gene000315
MAG37_32_8	Gene000315
MAG53_1_162	Gene000315
